SKU,Product Name,Category,Color / Finish,Material,Price,Photo,Shot Idea,Notes,Status,Error Detail,Approved Image URLs
HG-002,Stoneware Mug 12oz,Ceramics,Sage,Stoneware,$29,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-002.jpg,"morning kitchen counter, steam, warm light","El: bestseller, do this one first",needs_redo,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-002/v3-1788216533370.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=1b27fd9b793983b7c646ca3192fc304e5835c0f5ac11a38ad5030f49f7e0c94f&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-005,Serving Bowl Large,Ceramics,Forest,Stoneware,$53,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-005.jpg,"on a set dinner table, with food in it?","top seller, gets reordered constantly",needs_redo,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-005/v1-1788216427500.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=fc1abf48ad7b957f17dc554c7371aa73710e8366628bb033e327e16304a3cc92&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-005/v3-1788216543728.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=374ecf123abc9a40e49ab6b973d4279e4eeeb927453423c5fed5c0318774153d&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-010,Espresso Cup Set (4),Ceramics,Ochre,Stoneware,$43,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-010.jpg,"holiday morning, gift-y","gift set, big for Q4 last yr",needs_redo,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-010/v3-1788216543377.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=0536a1ca904c8e9cbd39dd140f024cb8336535cb9e0fe51c6e6b25b0daac22a1&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-010/v2-1788216484806.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=caac9773ecd73d40a2a70f0fc2ea4f1d57b9c143e5836ac6dad991021b1df9c5&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-011,Woven Throw Blanket,Textiles,Sage Cream,Cotton-wool blend,$89,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-011.jpg,draped over a reading chair,El: shoot with the mugs maybe,approved,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-011/v3-1788216722625.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=4abdc6c2aa8b9c7d152dd747c9ac1a6d37245625c0e8607fc5ffd494cb5d9bd3&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-011/v1-1788216612935.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=36bc15f9ff635db668dd6a0e580299603a8016d0baccf239072b898eb6b96221&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-011/v2-1788216669370.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=90383a5f29443d1d1575ef862c0ce77df7c1391fcb986bd4288c3f69ce2ebd08&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-020,Mixing Bowl Set (3),Kitchen,Ochre Clay Terracotta,Stoneware,$73,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-020.jpg,"baking scene, a little flour mess",,awaiting_approval,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-020/v2-1788216671238.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=d325ea64f64b6c06b4de280097473fc43c2ce693fdee0a6c0c27054407daae57&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-020/v1-1788216613923.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=4e887a2a842afedcc846a21925f224ad867d61e9cb72ff1942179f218a18d794&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-021,Spice Jar Set (6),Kitchen,Charcoal Lids,Glass + stoneware,$39,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-021.jpg,"gift-wrapped, stocking stuffer vibe",stocking stuffer push,awaiting_approval,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-021/v2-1788216683871.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=a12fb8ecb1c187eed8adc6b97724664707960b726540558b9df8f53ae8fa37f2&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-021/v3-1788216743686.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=b242441cf777fda46ae875018e4f3a016dbf1a97e614849c741c8cbc0ff75d60&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-025,Pillar Candle Set (3),Decor,Cream Clay Sage,Soy blend,$39,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-025.jpg,holiday mantel with evergreen,,approved,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-025/v1-1788216815629.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=f571729b48ca84df0a3ad68718e4aedd61fdc32a8984d88c8767d2ed6bc60be2&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-025/v3-1788216921962.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=f86e3c43df4ca2714781a2cec10c301615fe3762847b9405851bb24ffa5c670b&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-025/v2-1788216868516.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=d11ee7cf93b37095f4618b9578aaa439dca9e55eccd50d37d1a675f422b0799e&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-034,Soap Dispenser,Bath,Sage,Stoneware,$27,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-034.jpg,bathroom counter next to a towel,bathroom set w/ the towels?,awaiting_approval,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-034/v1-1788216820756.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=aac26fe4c8a3e26601dac5629d9acd669fd4952f4ea9782421ec2cfd0f9b0066&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-034/v3-1788216914286.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=9d3362b029b0c56d40d687ecdbac05a526bc2f021b17077e5780060380f0c484&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-041,Ribbed Tumbler Set (4),Glassware,Smoke,Recycled glass,$39,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-041.jpg,iced drinks on a patio table,"El: smoke glass photographs badly, careful",awaiting_approval,,https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-041/v2-1788216867777.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=8d27007d5c44621c140b5e759e0a37bd7e0d2cf9f28ab3a69415b1dab1065fb6&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject ; https://a96f023b23b4917eb8c750566642a2cb.r2.cloudflarestorage.com/lumashots/generations/HG-041/v3-1788216915980.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=80a3dbf55cba0e61fa26ba30b1798291%2F20260831%2Fauto%2Fs3%2Faws4_request&X-Amz-Date=20260831T225756Z&X-Amz-Expires=604800&X-Amz-Signature=407d5e522201da2bfaaac6c55fb52e1e006e279221b47c61a39d4f716e5b43b8&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject
HG-042,Carafe,Glassware,Amber,Recycled glass,$45,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-042.jpg,holiday dinner table,,generating,,
