SKU,Product Name,Category,Color / Finish,Material,Price,Photo,Shot Idea,Notes
HG-001,Stoneware Vase,Ceramics,Terracotta,Stoneware,$48,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-001.jpg,,
HG-002,Stoneware Mug 12oz,Ceramics,Sage,Stoneware,$28,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-002.jpg,"morning kitchen counter, steam, warm light","El: bestseller, do this one first"
HG-003,Cereal Bowl,Ceramics,Dusty Blue,Stoneware,$22,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-003.jpg,,
HG-004,Dinner Plate,Ceramics,Cream,Stoneware,$26,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-004.jpg,,
HG-005,Serving Bowl Large,Ceramics,Forest,Stoneware,$52,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-005.jpg,"on a set dinner table, with food in it?","top seller, gets reordered constantly"
HG-006,Pitcher,Ceramics,Ochre,Stoneware,$44,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-006.jpg,,
HG-008,Salt + Pepper Cellar Set,Ceramics,Charcoal,Stoneware,$32,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-008.jpg,holiday table close-up,
HG-009,Teapot,Ceramics,Clay Pink,Stoneware,$58,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-009.jpg,"afternoon tea, table by a window",
HG-010,Espresso Cup Set (4),Ceramics,Ochre,Stoneware,$42,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-010.jpg,"holiday morning, gift-y","gift set, big for Q4 last yr"
HG-011,Woven Throw Blanket,Textiles,Sage Cream,Cotton-wool blend,$88,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-011.jpg,draped over a reading chair,El: shoot with the mugs maybe
HG-012,Throw Pillow,Textiles,Ochre,Wool,$54,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-012.jpg,styled on a sofa,
HG-013,Cloth Napkin Set (6),Textiles,Dusty Blue,Linen,$36,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-013.jpg,,
HG-014,Table Runner,Textiles,Clay Pink Charcoal,Linen,$42,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-014.jpg,,
HG-016,Cutting Board,Kitchen,Natural Wood,Acacia,$46,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-016.jpg,charcuterie spread on it,"pricey, needs to look premium"
HG-017,Utensil Crock,Kitchen,Forest,Stoneware,$34,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-017.jpg,,
HG-018,Canister Set (3),Kitchen,Cream Terracotta Sage,Stoneware,$64,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-018.jpg,,
HG-019,Serving Tray,Kitchen,Natural Wood,Acacia,$54,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-019.jpg,,
HG-020,Mixing Bowl Set (3),Kitchen,Ochre Clay Terracotta,Stoneware,$72,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-020.jpg,"baking scene, a little flour mess",
HG-021,Spice Jar Set (6),Kitchen,Charcoal Lids,Glass + stoneware,$38,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-021.jpg,"gift-wrapped, stocking stuffer vibe",stocking stuffer push
HG-022,Bread Basket,Kitchen,Sage Liner,Rattan + linen,$32,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-022.jpg,,came out too shiny in last shoot
HG-024,Berry Colander,Kitchen,Dusty Blue,Stoneware,$26,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-024.jpg,,
HG-025,Pillar Candle Set (3),Decor,Cream Clay Sage,Soy blend,$38,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-025.jpg,holiday mantel with evergreen,
HG-026,Candle Holder,Decor,Charcoal,Stoneware,$24,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-026.jpg,,
HG-027,Table Lamp,Decor,Sage Cream,Ceramic + linen shade,$120,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-027.jpg,"cozy shelf corner, lamp actually lit",
HG-028,Sculptural Vessel,Decor,Terracotta,Stoneware,$68,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-028.jpg,,
HG-029,Incense Holder,Decor,Dusty Blue,Stoneware,$18,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-029.jpg,,
HG-030,Bookend Pair,Decor,Ochre,Stoneware,$46,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-030.jpg,,
HG-032,Decorative Bowl,Decor,Forest,Stoneware,$40,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-032.jpg,,discontinued after spring?
HG-033,Hanging Wall Planter,Decor,Clay Pink,Stoneware,$36,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-033.jpg,,plant not included lol
HG-034,Soap Dispenser,Bath,Sage,Stoneware,$26,https://take-home-service.lumalabs-ext.workers.dev/assets/fde/hg-034.jpg,bathroom counter next to a towel,bathroom set w/ the towels?
